ID,Product,Sales,Quantity,Date,Category,Region,Discount,Profit,Customer
1,Product_9,311.63,18,2024-06-07 11:03:34.435685,Home,South,0.04,87.29,Customer_8
2,Product_9,576.05,19,2024-06-30 11:03:34.435685,Books,North,0.16,143.59,Customer_3
3,Product_3,945.03,4,2024-02-14 11:03:34.435685,Home,West,0.07,235.68,Customer_15
4,Product_4,213.96,6,2024-10-05 11:03:34.435685,Electronics,West,0.06,231.04,Customer_1
5,Product_9,543.11,18,2024-03-25 11:03:34.435685,Toys,West,0.18,279.79,Customer_13
6,Product_4,610.84,4,2024-04-10 11:03:34.435685,Books,East,0.05,272.84,Customer_8
7,Product_10,337.63,8,2024-02-09 11:03:34.435685,Electronics,West,0.15,124.87,Customer_8
8,Product_1,730.58,7,2024-09-19 11:03:34.435685,Toys,West,0.11,224.51,Customer_8
9,Product_2,420.57,17,2024-09-16 11:03:34.435685,Clothing,East,0.15,32.83,Customer_12
10,Product_9,207.22,13,2024-05-24 11:03:34.435685,Clothing,North,0.15,60.34,Customer_13
11,Product_8,698.35,9,2024-05-29 11:03:34.435685,Toys,North,0.12,127.19,Customer_1
12,Product_2,456.68,5,2024-04-25 11:03:34.435685,Clothing,North,0.04,160.08,Customer_11
13,Product_2,129.84,18,2024-01-31 11:03:34.435685,Toys,West,0.06,23.16,Customer_14
14,Product_6,506.79,12,2024-03-04 11:03:34.435685,Home,South,0.02,167.65,Customer_3
15,Product_2,683.17,19,2024-11-20 11:03:34.435685,Toys,West,0.18,298.64,Customer_3
16,Product_1,264.42,8,2024-01-28 11:03:34.435685,Books,East,0.01,153.94,Customer_6
17,Product_1,413.99,15,2024-08-25 11:03:34.435685,Toys,North,0.03,31.3,Customer_5
18,Product_1,863.87,19,2024-08-07 11:03:34.435685,Electronics,East,0.12,158.05,Customer_14
19,Product_4,799.8,19,2024-08-20 11:03:34.435685,Toys,South,0.06,282.1,Customer_10
20,Product_7,508.31,1,2024-10-12 11:03:34.435685,Books,North,0.01,94.46,Customer_9
21,Product_4,495.11,12,2025-01-01 11:03:34.435685,Books,North,0.13,157.24,Customer_7
22,Product_5,501.97,13,2024-03-08 11:03:34.435685,Electronics,South,0.06,126.6,Customer_6
23,Product_6,800.36,12,2024-02-29 11:03:34.435685,Electronics,South,0.18,189.6,Customer_11
24,Product_1,449.47,20,2024-09-09 11:03:34.435685,Home,East,0.04,218.11,Customer_3
25,Product_10,637.26,1,2024-06-06 11:03:34.435685,Toys,West,0.06,68.83,Customer_15
26,Product_7,990.5,15,2024-09-18 11:03:34.435685,Electronics,North,0.08,61.11,Customer_15
27,Product_5,964.55,12,2024-12-09 11:03:34.435685,Toys,East,0.13,12.46,Customer_5
28,Product_7,742.88,1,2024-04-21 11:03:34.435685,Electronics,North,0.06,104.12,Customer_7
29,Product_10,155.22,2,2024-08-06 11:03:34.435685,Electronics,North,0.14,43.08,Customer_8
30,Product_5,932.74,4,2024-03-04 11:03:34.435685,Books,West,0.05,266.62,Customer_3
31,Product_4,100.13,11,2024-05-22 11:03:34.435685,Electronics,North,0.05,178.84,Customer_15
32,Product_8,366.42,20,2024-03-14 11:03:34.435685,Clothing,North,0.07,183.36,Customer_3
33,Product_9,547.27,20,2024-03-28 11:03:34.435685,Clothing,North,0.15,199.83,Customer_8
34,Product_10,782.38,1,2024-07-04 11:03:34.435685,Toys,East,0.06,90.8,Customer_11
35,Product_2,843.71,15,2024-10-31 11:03:34.435685,Toys,East,0.19,124.96,Customer_1
36,Product_6,813.86,1,2024-03-13 11:03:34.435685,Electronics,South,0.14,53.31,Customer_14
37,Product_1,959.38,17,2024-09-23 11:03:34.435685,Electronics,North,0.18,269.07,Customer_9
38,Product_7,262.11,8,2024-10-01 11:03:34.435685,Home,East,0.07,298.64,Customer_10
39,Product_3,861.61,13,2025-01-03 11:03:34.435685,Clothing,West,0.07,144.68,Customer_15
40,Product_1,385.06,16,2024-08-03 11:03:34.435685,Home,South,0.02,24.7,Customer_12
41,Product_4,124.17,14,2024-12-01 11:03:34.435685,Toys,North,0.16,274.84,Customer_14
42,Product_5,669.14,17,2024-09-14 11:03:34.435685,Toys,West,0.07,228.12,Customer_12
43,Product_5,288.83,16,2024-06-10 11:03:34.435685,Electronics,North,0.1,239.59,Customer_5
44,Product_2,670.4,9,2024-04-03 11:03:34.435685,Electronics,South,0.07,236.3,Customer_13
45,Product_9,316.03,11,2024-10-14 11:03:34.435685,Home,West,0.04,236.33,Customer_9
46,Product_4,296.82,6,2024-09-26 11:03:34.435685,Books,West,0.13,48.09,Customer_14
47,Product_9,344.18,16,2024-01-17 11:03:34.435685,Home,East,0.13,126.68,Customer_8
48,Product_3,578.68,19,2024-12-30 11:03:34.435685,Clothing,West,0.11,105.9,Customer_10
49,Product_9,537.07,10,2024-09-23 11:03:34.435685,Books,South,0.04,123.67,Customer_9
50,Product_8,989.63,7,2024-06-15 11:03:34.435685,Clothing,West,0.03,67.11,Customer_11
